Reference Number,Date Entered,Concern Address,Disposition,Concern Type,Concern Description,Citation Fine Total,Balance Remaining
RAC-2021-01644,8/27/2021,114 STONY CREEK RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP states bright light and loud voices - basketball - pool - party,0,0
RAC-2021-01115,7/10/2021,114 STONY CREEK RD,No Issue,Vacation Rental Noise/Party,RP states party at VR - extremely loud voices,0,0
RAC-2021-01684,8/29/2021,114 STONY CREEK RD,No Issue,Vacation Rental Noise/Party,call came in at approx. 1:21AM I responded but when I arrived I didn`t hear anything. I made my way to the front door and was able to hear some laughter coming from the home. I imagine it was the neighbor that complained but since the rental guests were awake I made contact and asked that they keep it down since noise travels farther in this high altitude. I also contacted the reporting party but she didn`t answer. I did leave a message with my contact info,0,0
RAC-2021-01048,7/5/2021,119 STONY CREEK RD,Issued Citation,Vacation Rental Noise/Party,"Call came in at 12:45 regarding a residence with lots of partying, noise, and screaming for the past three nights and they are tired of it.",500,0
RAC-2021-01204,7/17/2021,119 STONY CREEK RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Noise and loud party from inside residence.,0,0
RAC-2021-00926,6/26/2021,119 STONY CREEK RD,No Issue,Vacation Rental Noise/Party,"6/25/21
Call came in at 11:02 PM about noise in this area. The reporting party was notable to give an exact address. Only instructions that the music was somewhere between stony creek, teakwood, and juniper.",0,0
RAC-2021-01188,7/16/2021,119 STONY CREEK RD,No Issue,Vacation Rental Noise/Party,RP states loud noise/music/yelling at VR - might need to walk around the side to hear - back yard,0,0
RAC-2021-00780,6/9/2021,1200 WOLF CREEK CT,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,call came in at 11:14 pm on 6/8/21 about a loud party at as vacation rental as well as fighting.,0,0
RAC-2021-00655,5/22/2021,1204 ASPEN DR,Issued Citation,Vacation Rental Noise/Party,High volume music,500,0
RAC-2021-00267,3/21/2021,1212 CLUB VIEW DR,Issued Citation,Vacation Rental Noise/Party,call came in about noise from a private home rental.,500,0
RAC-2021-00869,6/19/2021,1214 ASPEN DR,No Issue,Vacation Rental Noise/Party,RP stated that renters were talking loudly inside of the house with the windows and doors open making it hard to go to sleep.,0,0
RAC-2021-01637,8/27/2021,1215 SISKIYOU DR,Issued Citation,Vacation Rental Noise/Party,"12:05AM Call concerning parking, over occupancy, and noise.",500,500
RAC-2021-00435,4/17/2021,1215 SISKIYOU DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,R/P stated there is a party with loud music at the residence.,0,0
RAC-2021-00820,6/13/2021,1215 SISKIYOU DR,Issues Resolved With Verbal Warning,Vacation Rental Over Occupancy,There is 7 cars and I would say at least 20 people staying there,0,0
RAC-2021-01030,7/4/2021,1215 SISKIYOU DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP states very loud music,0,0
RAC-2021-01538,8/16/2021,1215 SISKIYOU DR,Issues Resolved With Verbal Warning,Vacation Rental Over Occupancy,This house once again is over occupied. There are seven cars. Half the cars aren’t even parked on the actual property,0,0
RAC-2021-00865,6/19/2021,1215 SISKIYOU DR,No Issue,Vacation Rental Over Occupancy,This house is once again over occupancy. 7 cars parked in front. This happens almost every weekend. Nobody is ever there to check the guests in either,0,0
RAC-2021-01619,8/24/2021,1215 SISKIYOU DR,No Issue,Vacation Rental Over Occupancy,"This house is over occupied again. There are 7 cars and probably over 20 people there. This happens almost every week. 
Would really appreciate somebody doing something about it.",0,0
RAC-2021-01175,7/16/2021,1218 ASPEN DR,Issued Citation,Vacation Rental Noise/Party,yelling and screaming.,1000,1000
RAC-2021-00513,5/1/2021,122 LAGUNITA LN,Issues Resolved With Verbal Warning,Vacation Rental Over Occupancy,"CHRIS OBSERVED OVER OCCUPANCY AND OVER LIMIT ON VEHICLES DURING HIS INSPECTION.
CONTACTED CODE FOR ASSISTANCE.",0,0
RAC-2021-00056,2/10/2021,1228 ASPEN DR,Issued Citation,Vacation Rental No License,Need to verify if renting while not registered currently,5000,5000
RAC-2021-00299,3/27/2021,124 LAKE DR,No Issue,Vacation Rental Noise/Party,Call came in about noise at a possible illegal private home rental.,0,0
RAC-2021-01123,7/10/2021,1246 SISKIYOU DR,Issued Citation,Vacation Rental Noise/Party,call came in about noise and possible party at a private home rental.,500,0
RAC-2021-01129,7/10/2021,125 STARVATION FLATS RD,Issued Citation,Vacation Rental Noise/Party,RP described amplified music coming from the residence. On going problem.,9500,9500
RAC-2021-01127,7/10/2021,125 STARVATION FLATS RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP states that amplified music and partying ongoing problem RP advise start investigation in back of home.,0,0
RAC-2021-01510,8/14/2021,125 STARVATION FLATS RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Yelling,0,0
RAC-2021-00659,5/22/2021,125 STARVATION FLATS RD,No Issue,Vacation Rental Noise/Party,HIGH VOLUME MUSIC,0,0
RAC-2021-01132,7/10/2021,125 STARVATION FLATS RD,No Issue,Vacation Rental Noise/Party,"RP states she called on this property 3 hours ago, CCO responded but occupants are partying loudly again and now are setting off firecrackers.",0,0
RAC-2021-01595,8/21/2021,125 STARVATION FLATS RD,No Issue,Vacation Rental Noise/Party,"6:45 PM - RP reports noise/yelling screaming at VR.
9:33 PM - RP called again and said noise never stopped.",0,0
RAC-2021-01201,7/17/2021,1267 SAN PASQUAL DR,Issued Citation,Vacation Rental Noise/Party,Loud music at a private home rental,500,500
RAC-2021-01209,7/17/2021,1267 SAN PASQUAL DR,Issued Citation,Vacation Rental Noise/Party,,1000,0
RAC-2021-00512,5/1/2021,127 STONY CREEK RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,,0,0
RAC-2021-00710,5/30/2021,127 STONY CREEK RD,No Issue,Vacation Rental Noise/Party,R/P stated the occupants were in the back yard yelling and he believed they might be in the spa.,0,0
RAC-2021-01194,7/17/2021,1272 SAN PASQUAL DR,No Issue,Vacation Rental Noise/Party,RP states very loud music - isn`t completely sure of right address,0,0
RAC-2021-00057,2/10/2021,1273 PIGEON RD,Issued Citation,Vacation Rental Delinquent TOT,"Has not remitted TOT for Q3 or Q4 and has documented stays, continues to rent",0,0
RAC-2021-00867,6/19/2021,128 LAGUNITA LN,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,music.,0,0
RAC-2021-01593,8/21/2021,128 LAGUNITA LN,Issues Resolved With Verbal Warning,Vacation Rental Parking,Vehicles parked on street.,0,0
RAC-2021-01386,7/31/2021,1294 LASSEN DR,No Issue,Vacation Rental Parking,Ro states 2 cars parked in street.,0,0
RAC-2021-01410,8/1/2021,132 ORIOLE DR,Issued Citation,Vacation Rental Noise/Party,Amplified music.,1000,1000
RAC-2021-00108,2/20/2021,132 ORIOLE DR,Issues Resolved With Verbal Warning,Vacation Rental Spa after 10pm,I received a call at 3:47 am about tenants at a spa past 10 PM.,0,0
RAC-2021-00686,5/29/2021,132 ORIOLE DR,Issues Resolved With Verbal Warning,Vacation Rental Spa after 10pm,,0,0
RAC-2021-01601,8/21/2021,132 ORIOLE DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,9:42 PM - RP states she called several times today about a car parked on the gravel separate from the driveway which is against code.  Wants a callback regarding outcome.,0,0
RAC-2021-01584,8/21/2021,132 ORIOLE DR,No Issue,Vacation Rental Parking,CAR PARKED ON GRAVEL.,0,0
RAC-2021-01679,8/28/2021,132 ORIOLE DR,No Issue,Vacation Rental Spa after 10pm,Still in spa,0,0
RAC-2021-00011,2/3/2021,132 PINECREST CT,Issued Citation,Vacation Rental No Licence,Property being used as a rental without registration permit,5000,5000
RAC-2021-00162,2/28/2021,132 STONY CREEK RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,R/P stated the occupants were on the backyard deck talking loud and yelling.,0,0
RAC-2021-01193,7/17/2021,132 STONY CREEK RD,No Issue,Vacation Rental Noise/Party,VR states fire pit on second floor deck,0,0
RAC-2021-01379,7/31/2021,132 STONY CREEK RD,No Issue,Vacation Rental Noise/Party,R/P stated the occupants are talking loud and yelling.,0,0
RAC-2021-00988,7/1/2021,133 LAGUNITA LN,Issues Resolved With Verbal Warning,Vacation Rental Parking,received a call at 8:23 pm about multiple cars being parked on the street.,0,0
RAC-2021-01043,7/4/2021,1340 BALSAM DR,No Issue,Vacation Rental Noise/Party,Complaint about noise and amplified music next door to RP`s address,0,0
RAC-2021-00291,3/27/2021,135 LAKE DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,call came in about noise. in this neighborhood they didn`t give an exact address so I believe this is it.,0,0
RAC-2021-00249,3/20/2021,1354 Balsam,Issues Resolved With Verbal Warning,Vacation Rental Spa after 10pm,Loud noise from hottub party at midnight.  You can see the hottub from the street.,0,0
RAC-2021-00257,3/20/2021,1354 BALSAM DR,Issues Resolved With Verbal Warning,Vacation Rental Spa after 10pm,call came in about a hot tub party at a vacation rental.,0,0
RAC-2021-00855,6/18/2021,139 TEAKWOOD DR,No Issue,Vacation Rental Noise/Party,noise,0,0
RAC-2021-00187,3/6/2021,1401 LASSEN DR,Issued Citation,Vacation Rental Noise/Party,"Possible illegal rental.  Too many people, noisy, in hot tub (8:56 pm)",11000,11000
RAC-2021-00578,5/13/2021,1401 LASSEN DR,Issued Citation,Vacation Rental Delinquent TOT,"Failure to remit delinquent TOT 2019, 2020, 2021",11539.52,11539.52
RAC-2021-00720,5/31/2021,1445 ROCKSPRAY DR,No Issue,Vacation Rental Noise/Party,R/P stated the occupants are having a large party with a live band.,0,0
RAC-2021-00373,4/7/2021,1467 LASSEN DR,Issued Citation,Vacation Rental Parking,received a call about cars parked on the street the rental agency is big bear vacations at about 6:45 pm,1000,1000
RAC-2021-00727,5/31/2021,150 STONY CREEK RD,No Issue,Vacation Rental Noise/Party,R/P stated the occupants were having party and playing loud music.,0,0
RAC-2021-00667,5/23/2021,152 LAKE DR,No Issue,Vacation Rental Parking,call came in from an dormouse source that a car at a vacation rental was parked on the street.,0,0
RAC-2021-01464,8/8/2021,152 LAKE DR,No Issue,Vacation Rental Parking,parking in street.,0,0
RAC-2021-00518,5/2/2021,152 ROUND DR,Issued Citation,Vacation Rental Parking,Car parked on street in violation of Conditional Use Permit restriction.,200,0
RAC-2021-00956,6/27/2021,152 ROUND DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Camp fire/ yelling,0,0
RAC-2021-00822,6/13/2021,152 ROUND DR,No Issue,Vacation Rental Noise/Party,,0,0
RAC-2021-00427,4/15/2021,152 ROUND RD,Issued NOV,Vacation Rental Advertising without a License,This house has weekend renters almost every weekend from Village Reservations rental service. It does NOT have a City rental permit sign anywhere on the property. I will call code enforcement next time renters are present. Past renters recently have caused serious neighborhood disturbances including one time recently where the Sheriff and Fire Department intervened in a suicide attempt.,0,0
RAC-2021-00879,6/19/2021,1639 Columbine Drive,No Issue,Vacation Rental Noise/Party,Music being played loud enough to be clearly heard in neighboring properties.,0,0
RAC-2021-01606,8/21/2021,164 FINCH DR,Issued Citation,Vacation Rental Noise/Party,"11:31 PM - Per RP, party out in back of house, 2 extra cars parked",500,500
RAC-2021-00354,4/3/2021,179 FINCH DR,No Issue,Vacation Rental Noise/Party,call came in about 6:30 pm about loud music and cars parked on the street,0,0
RAC-2021-00889,6/20/2021,179 FINCH DR,No Issue,Vacation Rental Noise/Party,Marty made a complaint on the phone describing loud noise and amplified music outside.,0,0
RAC-2021-01005,7/3/2021,179 TEAKWOOD DR,Issued NOV,Vacation Rental Noise/Party,yelling.,0,0
RAC-2021-00515,5/1/2021,179 TEAKWOOD DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP REPORTS HIGH VOLUME NOISE/ PARTY,0,0
RAC-2021-00758,6/5/2021,179 TEAKWOOD DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,PLAYING AMPLIFIED MUSIC IN BACK YARD.,0,0
RAC-2021-01592,8/21/2021,179 TEAKWOOD DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Amplified music.,0,0
RAC-2021-01618,8/24/2021,186 ROUND DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,RP states too many cars in driveway and cars parked on the street.,0,0
RAC-2021-00747,6/5/2021,188 EUREKA DR,Issued Citation,Vacation Rental Spa after 10pm,Renters yelling and screaming.,500,0
RAC-2021-00752,6/5/2021,188 EUREKA DR,Issued Citation,Vacation Rental Spa after 10pm,AFTER HOURS SPA USE/ NO RESPONSE FROM AGENT.,1000,0
RAC-2021-01380,7/31/2021,188 S EAGLE DR,Issued Citation,Vacation Rental Spa after 10pm,R/P stated the occupants are in the spa after 10;00 pm. She stated they also have kids running around the back yard yelling.,500,0
RAC-2021-01419,8/3/2021,188 S EAGLE DR,No Issue,Vacation Rental Spa after 10pm,Call at 10:00 concerning spa use after 10PM,0,0
RAC-2021-00073,2/14/2021,193 N EUREKA DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party/kids trespassing on property,At 5:01 pm i received a call about guests at a private home rental were trespassing onto his property.,0,0
RAC-2021-00868,6/19/2021,193 N EUREKA DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP Stated people at the house playing around in the yard - yelling,0,0
RAC-2021-01015,7/3/2021,193 N EUREKA DR,Issues Resolved With Verbal Warning,Vacation Rental Over Occupancy,call came in at about over occupancy and cars on the street at a vacation rental before normal business hours.,0,0
RAC-2021-01244,7/19/2021,195 FINCH DR,Issued Citation,Vacation Rental Noise/Party,high volume music blasting throughout the neighborhood.,1000,1000
RAC-2021-00336,4/2/2021,195 FINCH DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP says a group has been in the hot tub all day and has music blaring very loudly.,0,0
RAC-2021-00363,4/5/2021,195 FINCH DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,People in hot tub having a party with loud music.,0,0
RAC-2021-00504,5/1/2021,195 FINCH DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,COMPLAINT OF MUSIC AND SCREAMING KIDS.,0,0
RAC-2021-00510,5/1/2021,195 FINCH DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,R/P stated the occupants were playing loud music and yelling.,0,0
RAC-2021-01295,7/24/2021,195 FINCH DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Vacation Rental amplified music and partying going on last night up and at it again today.,0,0
RAC-2021-00520,5/2/2021,195 FINCH DR,No Issue,Vacation Rental Noise/Party,R/P stated there are kids running around the backyard being loud.,0,0
RAC-2021-01271,7/23/2021,195 FINCH DR,No Issue,Vacation Rental Noise/Party,RP states that a group of small children are yelling and screaming in the hot tub.,0,0
RAC-2021-01286,7/24/2021,195 FINCH DR,No Issue,Vacation Rental Noise/Party,8:27 pm (message left on my desk phone) RP states party going on most of the day and is very loud.,0,0
RAC-2021-00322,3/30/2021,202 N EUREKA DR,No Issue,Vacation Rental No Licence,Rented constantly - new people every night.,0,0
RAC-2021-00339,4/2/2021,202 N EUREKA DR,No Issue,Vacation Rental No Licence,,0,0
RAC-2021-00041,2/7/2021,211 ALP CT,No Issue,Vacation Rental Noise/Party,Barking dogs whenever owner is away.,0,0
RAC-2021-00885,6/20/2021,214 LAGUNITA LN,No Issue,Vacation Rental Noise/Party,RP says 2nd weekend in a row that there was a wedding at this location.  Claims she lives 6 blocks away and can hear every word of every song.,0,0
RAC-2021-00161,2/28/2021,216 ALP CT,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,R/P stated the occupants are having a party with loud music.,0,0
RAC-2021-00978,6/29/2021,216 ALP CT,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,At approximately 9:45 I received a call about a vacation rental being loud.,0,0
RAC-2021-01189,7/16/2021,217 CRATER LAKE RD,No Issue,Vacation Rental Noise/Party,RP states loud music - can be heard inside her home with windows closed.,0,0
RAC-2021-01345,7/27/2021,217 CRATER LAKE RD,No Issue,Vacation Rental Noise/Party,Call came in concerning loud amplified music.,0,0
RAC-2021-01581,8/21/2021,217 CRATER LAKE RD,No Issue,Vacation Rental Spa after 10pm,Call came in stating VRG was using spa and being loud.,0,0
RAC-2021-00028,2/6/2021,234 ORIOLE DR,No Issue,Vacation Rental Parking,3 cars in driveway - 2 on street,0,0
RAC-2021-00301,3/28/2021,240 TEAKWOOD DR,Issued Citation,Vacation Rental Parking,"6 cars parked in driveway and 3 cars parked on the street.  Address appears to be 240 Teakwood, but your map program keeps showing it as 243.",500,500
RAC-2021-00812,6/12/2021,241 ORION WAY,No Issue,Vacation Rental Noise/Party,reporting party states there is loud music hears at property line.,0,0
RAC-2021-01320,7/25/2021,248 FINCH DR,No Issue,Vacation Rental Noise/Party,Loud music at VHR,0,0
RAC-2021-00393,4/10/2021,248 LAGUNITA LN,No Issue,Vacation Rental Noise/Party,call came in about a loud party,0,0
RAC-2021-00763,6/6/2021,248 LAGUNITA LN,No Issue,Vacation Rental No License,,5000,0
RAC-2021-00905,6/22/2021,251 N EUREKA DR,No Issue,Vacation Rental Noise/Party,R/P stated the occupants were on the back deck talking loud.,0,0
RAC-2021-00783,6/10/2021,255 ECHO HILL RD,Issued Citation,Vacation Rental Noise/Party,Large party going on.,500,0
RAC-2021-00784,6/10/2021,255 ECHO HILL RD,Issued Citation,Vacation Rental Noise/Party,Rental agency failure to respond.,1500,0
RAC-2021-00708,5/30/2021,255 ECHO HILL RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,R/P stated the occupants were talking loud and yelling on the back deck.,0,0
RAC-2021-00004,2/1/2021,255 ECHO HILL RD,No Issue,Vacation Rental Parking,"7 cars parked on the street.  Last night there were 6 cars on the property so RP called owner.  When she woke this morning there were 7 cars parked on the street, including blocking a fire hydrant.",0,0
RAC-2021-01477,8/10/2021,256 EUREKA DR,Issued Citation,Vacation Rental Delinquent TOT,Failure to pay Q1-2021 TOT Penalties & Interest,619.6,619.6
RAC-2021-00635,5/21/2021,265 EAGLE DR,Issued Citation,Vacation Rental No License,,7500,0
RAC-2021-00634,5/21/2021,265 S Eagle,Issued Citation,Vacation Rental No License,,7500,7500
RAC-2021-00135,2/27/2021,266 WREN DR,Issued Citation,Vacation Rental Parking,Call came in about cars on the street.,500,500
RAC-2021-01298,7/24/2021,266 WREN DR,Issued Citation,Vacation Rental Parking,Call came in at 5:17PM about 5-7 cars illegally parked.,1500,1500
RAC-2021-00069,2/13/2021,280 PINTO CT,Issues Resolved With Verbal Warning,Vacation Rental No Licence,Owner of a house within the HOA is suspected of renting out his home.,0,0
RAC-2021-00112,2/20/2021,280 PINTO CT,Issues Resolved With Verbal Warning,Vacation Rental No License,"Family staying at the property, it is not supposed to be a rental. We researched this last time and did not find any",0,0
RAC-2021-00767,6/6/2021,290 WREN DR,Issued Citation,Vacation Rental No License,,5000,5000
RAC-2021-00436,4/17/2021,306 SCANOIA RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,338 Scandia extra cars 1 on the street one on the side of house. Guessing also over 7 occupancy,0,0
RAC-2021-01441,8/6/2021,306 STARLIGHT CIR,Issued Citation,Vacation Rental Parking,While on patrol Doug and I observed 3 vehicles with trailers parked on the street.,1000,1000
RAC-2021-01444,8/7/2021,306 STARLIGHT CIR,Issued Citation,Vacation Rental No In-person Check-in,While responding to a parking issue the investigation found out of other violations,2500,0
RAC-2021-00262,3/20/2021,306 STARLIGHT CIR,Issues Resolved With Verbal Warning,Vacation Rental Parking,R/P stated the occupants had 13 vehicles at the residence and several were parked on the street.,0,0
RAC-2021-00469,4/24/2021,308 EAGLE DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,TWO VEHICLES PARKED ON STREET IN WRONG DIRECTION.NO RESPONSE FOR DOOR KNOCK. NO RESPONSE FOR POSTED CONTACT PHONE NUMBER,0,0
RAC-2021-00480,4/25/2021,308 EAGLE DR,Issues Resolved With Verbal Warning,Vacation Rental Spa after 10pm,RENTERS OBSERVED USING HOT TUB FROM STREET. MAKING LOUD NOISE.,0,0
RAC-2021-00349,4/3/2021,312 DOVE CT,No Issue,Vacation Rental Parking,Vacation rental parking in yard/street.,0,0
RAC-2021-00230,3/14/2021,317 WREN AVE,Issues Resolved With Verbal Warning,Vacation Rental Parking,"Yellow jeep and white truck parked in yard, truck went over curb to park",0,0
RAC-2021-01539,8/16/2021,319 ARROYO DR,Issued Citation,Vacation Rental Over Occupancy,"RP states that online ad indicates occupancy of 6, but can only be 3.",2500,2500
RAC-2021-00471,4/24/2021,319 EUREKA DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,,0,0
RAC-2021-00882,6/20/2021,319 EUREKA DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,noise/ parking,0,0
RAC-2021-00167,2/28/2021,328 STONY CREEK DR,Issued Citation,Vacation Rental Noise/Party,Sgt Everman contacted me regarding a party complaint and asked me to respond to the residence.,5500,0
RAC-2021-00170,3/1/2021,328 STONY CREEK DR,Issued Citation,Vacation Rental Noise/Party,Noise/loud music at 10:45 p.m. on 2/27/21,500,0
RAC-2021-00330,4/1/2021,331 OLYMPIC DR,No Issue,Vacation Rental Noise/Party,"Mrs. Bierman owns the home next door and often comes to her place (or has friends come up) and finds all sorts of things in her back yard - trash, clothing, etc.  She has also had to lock up her patio furniture because often that is found at the neighbor`s.  She is fed up with the issues and has contacted DBB to complain.  According to her, they told her that she should call when something is going on and were `very rude` to her.",0,0
RAC-2021-01421,8/4/2021,340 CRYSTAL LAKE RD,Issued Citation,Vacation Rental Spa after 10pm,Call at 12:12AM describing spa use after 10 said they had moved the party outside after I had left.,1000,1000
RAC-2021-01422,8/4/2021,340 CRYSTAL LAKE RD,Issued Citation,Vacation Rental Spa after 10pm,Agent Owner Case. Call at 12:12AM describing spa use after 10 said they had moved the party outside after I had left.,500,500
RAC-2021-01317,7/25/2021,340 CRYSTAL LAKE RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"Call came in at 1:08AM concerning amplified music, cars parked in the street, and large gathering.",0,0
RAC-2021-01420,8/4/2021,340 CRYSTAL LAKE RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Call at 11:31 described excessive noise coming from this residence.,0,0
RAC-2021-01526,8/15/2021,340 CRYSTAL LAKE RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Noise. Yelling.,0,0
RAC-2021-01049,7/5/2021,340 CRYSTAL LAKE RD,No Issue,Vacation Rental Parking,2 cars parked on street.,0,0
RAC-2021-00430,4/16/2021,340 STARVATION FLATS RD,Issued Citation,Vacation Rental Advertising without a License,"Owner was advised in February that the `unit` had not been permitted and they could not rent it until it was passed the building process, and inspected and approved through Tourism Mgmt.  They have since advertised on Airbnb and have reviews indicating that they have been renting.",2500,0
RAC-2021-00155,2/27/2021,350 SCANDIA RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"Loud music, singing etc",0,0
RAC-2021-00279,3/25/2021,351 GLENWOOD DR,Issued Citation,Vacation Rental Noise/Party,received a call about amplified music at approx. 9:32 pm,1000,1000
RAC-2021-01001,7/2/2021,351 GLENWOOD DR,Issued Citation,Vacation Rental Parking,while patrolling the area we noticed 2 cars parked on the street.,1000,1000
RAC-2021-00154,2/27/2021,351 GLENWOOD DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,A call came in about music being played outside on the porch at a private home rental.,0,0
RAC-2021-00803,6/11/2021,351 GLENWOOD DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,parking on street,0,0
RAC-2021-01643,8/27/2021,351 GLENWOOD DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,VR over occupancy/loud party/noise.,0,0
RAC-2021-00197,3/7/2021,351 GLENWOOD DR,No Issue,Vacation Rental Noise/Party,Call came in at 9:00 pm.  RP states loud party with yelling and screaming on back deck.  Multiple cars - 18-20 people.,0,0
RAC-2021-00253,3/20/2021,354 OLYMPIC DR,No Issue,Vacation Rental Parking,Parking,0,0
RAC-2021-00688,5/29/2021,355 CATALINA RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,R/P stated the occupants were on the back deck talking loud.,0,0
RAC-2021-00937,6/26/2021,356 STARLIGHT CIR,Issues Resolved With Verbal Warning,Vacation Rental Parking,street parking.,0,0
RAC-2021-00049,2/8/2021,357 VISTA LN,Issued Citation,Vacation Rental No Licence,Illegal rental that constantly leaves trash out,0,0
RAC-2021-00939,6/26/2021,360 STARLIGHT CIR,Issues Resolved With Verbal Warning,Vacation Rental Parking,parking in street.,0,0
RAC-2021-00946,6/26/2021,360 STARLIGHT CIR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP reports loud noise at rental property,0,0
RAC-2021-01455,8/7/2021,364 CRYSTAL LAKE RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP states loud part/noise/over occupancy,0,0
RAC-2021-01648,8/27/2021,368 SANTA CLARA BLVD,Issues Resolved With Verbal Warning,Vacation Rental Spa after 10pm,call came in at 11:40 for noise,0,0
RAC-2021-00807,6/12/2021,371 EDGEMOOR RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,,0,0
RAC-2021-00947,6/26/2021,371 STARLIGHT CIR,No Issue,Vacation Rental Noise/Party,RP states loud noise at vacation rental.,0,0
RAC-2021-01454,8/7/2021,376 CRYSTAL LAKE RD,No Issue,Vacation Rental Noise/Party,RP states loud part/noise/over occupancy,0,0
RAC-2021-00766,6/6/2021,380 CANVASBACK RD,Issued Citation,Vacation Rental No License,,5000,0
